industry,ai_tool,adoption_rate,daily_active_users,year
Education,Bard,6.59,4359,2023
Agriculture,ChatGPT,2.35,8564,2024
Technology,Stable Diffusion,39.71,9898,2024
Transportation,Midjourney,98.54,3626,2024
Transportation,Midjourney,73.14,6533,2024
Retail,Stable Diffusion,98.8,7977,2023
Retail,ChatGPT,66.46,9344,2023
Technology,Claude,47.11,243,2024
Finance,ChatGPT,81.54,1962,2024
Technology,ChatGPT,59.51,915,2024
Transportation,Midjourney,44.82,6872,2023
Healthcare,Stable Diffusion,49.43,9384,2023
Retail,ChatGPT,65.29,4096,2024
Manufacturing,Stable Diffusion,60.11,5433,2023
Finance,Stable Diffusion,19.41,4349,2024
Healthcare,ChatGPT,23.54,5644,2023
Transportation,ChatGPT,60.52,5815,2024
Manufacturing,Stable Diffusion,75.42,1545,2023
Technology,ChatGPT,61.89,8420,2023
Manufacturing,Midjourney,4.46,1663,2024
Education,ChatGPT,12.38,7128,2024
Retail,ChatGPT,93.57,3978,2024
Transportation,ChatGPT,45.97,3846,2024
Education,ChatGPT,13.24,5515,2023
Transportation,Midjourney,68.99,882,2023
Technology,ChatGPT,25.88,5621,2024
Transportation,Midjourney,22.37,2519,2024
Retail,Stable Diffusion,20.21,8757,2024
Technology,Midjourney,83.02,8253,2024
Transportation,Midjourney,29.89,9158,2023
Retail,Midjourney,65,5067,2024
Healthcare,ChatGPT,58.59,6284,2024
Technology,ChatGPT,76.96,1563,2023
Agriculture,Stable Diffusion,65.77,4580,2024
Transportation,ChatGPT,37.1,2850,2024
Manufacturing,Stable Diffusion,49.47,3277,2023
Agriculture,Stable Diffusion,42.99,9585,2023
Agriculture,Bard,67.51,9434,2024
Technology,ChatGPT,36.81,2477,2024
Retail,Stable Diffusion,72.6,5914,2024
Retail,ChatGPT,66.49,1133,2023
Agriculture,Bard,31.58,4477,2023
Technology,Midjourney,47.02,830,2023
Education,Bard,84.76,9366,2023
Technology,Bard,68.06,3438,2023
Manufacturing,Midjourney,1.73,1920,2024
Finance,ChatGPT,63.42,3671,2023
Agriculture,ChatGPT,78.97,6831,2023
Transportation,Claude,12.39,6820,2024
Healthcare,Stable Diffusion,18.06,4804,2024
Manufacturing,ChatGPT,44.55,7415,2024
Agriculture,Claude,44.2,684,2024
Agriculture,ChatGPT,46.61,734,2023
Transportation,Midjourney,79.35,4832,2024
Agriculture,Midjourney,90.86,5684,2024
Retail,Bard,61.71,3041,2023
Retail,Midjourney,60.6,4536,2024
Transportation,Bard,44.32,8850,2024
Transportation,ChatGPT,69.8,8342,2024
Manufacturing,ChatGPT,78.66,9394,2024
Healthcare,Midjourney,8.59,7728,2024
Manufacturing,ChatGPT,76.08,8284,2024
Healthcare,Bard,7.14,9150,2023
Finance,Midjourney,55.49,641,2024
Healthcare,ChatGPT,50.28,3076,2024
Agriculture,Bard,72,5358,2024
Education,ChatGPT,4.45,4332,2024
Education,Midjourney,68.75,6194,2024
Finance,ChatGPT,95.04,2178,2024
Agriculture,Midjourney,66.19,9261,2023
Manufacturing,ChatGPT,36.99,2631,2023
Transportation,ChatGPT,30.48,3758,2024
Retail,Midjourney,57.13,8879,2024
Manufacturing,Stable Diffusion,19.39,8249,2023
Retail,ChatGPT,79.9,7705,2024
Education,ChatGPT,18.64,6512,2024
Transportation,Stable Diffusion,7.52,8385,2023
Healthcare,ChatGPT,30.19,5318,2024
Healthcare,ChatGPT,89.92,9152,2024
Agriculture,ChatGPT,92.71,8349,2024
Healthcare,Midjourney,34.63,5577,2024
Technology,ChatGPT,36.57,4545,2024
Technology,Midjourney,47.29,5149,2024
Education,Midjourney,21.39,8065,2024
Transportation,Midjourney,54.57,3165,2024
Finance,Midjourney,90.98,2359,2024
Healthcare,Stable Diffusion,66.98,8124,2023
Technology,ChatGPT,44.15,789,2024
Healthcare,Midjourney,92.8,5374,2024
Finance,Midjourney,42.29,9600,2023
Technology,Midjourney,53.09,6623,2024
Technology,Midjourney,63.56,8208,2023
Finance,ChatGPT,75.79,2569,2024
Agriculture,Stable Diffusion,5.54,8886,2024
Agriculture,ChatGPT,19.18,7163,2024
Education,Midjourney,33.58,1841,2024
Finance,Midjourney,40.57,6283,2024
Education,Midjourney,5.9,1479,2023
Finance,Stable Diffusion,94.96,9698,2024
Transportation,ChatGPT,35.97,9862,2023
Finance,Bard,52.51,6688,2024
Retail,ChatGPT,34.76,6098,2024
Agriculture,Midjourney,31.83,223,2024
Transportation,ChatGPT,80.22,2984,2024
Manufacturing,ChatGPT,65.92,8341,2023
Finance,ChatGPT,58.3,6156,2024
Transportation,ChatGPT,36.9,8303,2023
Retail,Midjourney,14.85,1698,2024
Technology,ChatGPT,8.18,4287,2024
Finance,Midjourney,85.43,7284,2023
Manufacturing,Midjourney,71.64,7260,2024
Manufacturing,Midjourney,64.84,7421,2024
Education,Midjourney,18.71,7254,2024
Agriculture,ChatGPT,72.16,995,2023
Healthcare,Stable Diffusion,77.69,3141,2023
Retail,ChatGPT,30.76,6828,2024
Healthcare,Midjourney,96.66,9943,2024
Technology,ChatGPT,51.35,3875,2024
Retail,ChatGPT,39.86,611,2023
Retail,Midjourney,53.4,5281,2024
Transportation,Bard,41.55,6829,2024
Technology,Midjourney,65.21,2144,2024
Finance,Midjourney,40.58,2532,2024
Healthcare,Bard,12.3,1900,2023
Agriculture,Claude,24.13,4914,2024
Retail,Midjourney,39.26,803,2024
Technology,Midjourney,58.69,769,2024
Manufacturing,ChatGPT,26.01,2689,2024
Technology,Stable Diffusion,7.01,789,2024
Agriculture,ChatGPT,25.89,302,2024
Healthcare,Bard,71.87,5367,2024
Technology,Claude,44.47,8646,2024
Manufacturing,Midjourney,43.97,7227,2024
Finance,Stable Diffusion,25.68,7979,2023
Transportation,Midjourney,0.89,4121,2024
Healthcare,Claude,81.05,9033,2024
Finance,Midjourney,42.51,5196,2023
Healthcare,Stable Diffusion,23.09,8467,2024
Transportation,ChatGPT,27.74,5223,2023
Finance,ChatGPT,0.09,8921,2023
Transportation,ChatGPT,13.82,5470,2024
Education,ChatGPT,88.79,7773,2023
Transportation,Stable Diffusion,8.76,4506,2023
Education,ChatGPT,19.67,9201,2023
Education,Midjourney,92.95,8183,2024
Retail,Bard,10.99,2911,2023
Finance,Stable Diffusion,84.17,8517,2024
Technology,ChatGPT,39.56,7107,2024
Retail,Midjourney,4.21,6060,2023
Technology,ChatGPT,91.12,9212,2024
Technology,ChatGPT,35.1,4493,2024
Agriculture,Midjourney,53.39,6329,2024
Transportation,ChatGPT,9.11,3333,2024
Retail,Midjourney,3.66,2712,2024
Transportation,ChatGPT,97.47,5865,2023
Education,ChatGPT,43.17,7199,2024
Manufacturing,Midjourney,68.84,5417,2023
Agriculture,ChatGPT,36.9,4217,2023
Retail,ChatGPT,34.54,8112,2024
Manufacturing,Midjourney,2.14,8153,2024
Transportation,Midjourney,88.63,9706,2024
Manufacturing,ChatGPT,14,6246,2024
Manufacturing,ChatGPT,77.05,2069,2024
Healthcare,Bard,47.74,3358,2023
Healthcare,ChatGPT,98.63,9979,2024
Finance,Midjourney,62.6,955,2024
Finance,ChatGPT,48.79,8456,2023
Transportation,Claude,70.91,7954,2023
Retail,Stable Diffusion,72.62,359,2023
Finance,Midjourney,21.56,1716,2023
Agriculture,Midjourney,35.59,2761,2023
Manufacturing,Midjourney,32.29,4450,2024
Education,ChatGPT,63.22,473,2024
Healthcare,Stable Diffusion,8.46,6440,2024
Technology,Midjourney,25.61,1401,2024
Retail,ChatGPT,68.75,898,2024
Education,ChatGPT,82.15,6043,2024
Retail,ChatGPT,38.81,2477,2023
Finance,Midjourney,58.05,3960,2024
Finance,Stable Diffusion,78.51,9222,2023
Transportation,Stable Diffusion,97.51,8528,2024
Healthcare,Midjourney,25.25,9069,2024
Education,Stable Diffusion,20,8427,2024
Healthcare,ChatGPT,82.17,9147,2024
Finance,Midjourney,40.11,5768,2023
Agriculture,Midjourney,36.66,1346,2023
Manufacturing,Midjourney,80.22,3890,2023
Finance,Bard,39.3,4914,2024
Education,Stable Diffusion,22.68,6462,2024
Technology,ChatGPT,33.03,791,2024
Finance,ChatGPT,47.73,9732,2024
Finance,ChatGPT,48.43,8869,2024
Technology,Stable Diffusion,18.38,496,2024
Transportation,Midjourney,56.39,3775,2024
Technology,ChatGPT,63.32,4870,2023
Manufacturing,ChatGPT,81.64,8039,2024
Manufacturing,Midjourney,66.85,8958,2024
Manufacturing,ChatGPT,36.3,9889,2024
Technology,ChatGPT,55.1,9890,2024
Transportation,Midjourney,81.74,4384,2024
Agriculture,Stable Diffusion,39.57,9082,2024
Retail,Stable Diffusion,12.37,4904,2024
Manufacturing,ChatGPT,40.49,3633,2024
Education,Stable Diffusion,6.33,8255,2024
Finance,Bard,16.53,7148,2024
Finance,Midjourney,79.76,9401,2024
Healthcare,Midjourney,75.47,1868,2024
Education,ChatGPT,63.63,4678,2023
Agriculture,ChatGPT,28.09,2508,2023
Education,ChatGPT,72.79,5871,2024
Agriculture,ChatGPT,82.66,9336,2023
Transportation,Stable Diffusion,75.79,2786,2023
Manufacturing,ChatGPT,8.73,5083,2024
Transportation,Stable Diffusion,17,1348,2024
Transportation,Bard,80.83,5444,2024
Transportation,Midjourney,82.71,2937,2023
Transportation,ChatGPT,3.41,889,2024
Transportation,Stable Diffusion,16.76,7547,2024
Manufacturing,Midjourney,38.57,7409,2023
Technology,Midjourney,53.47,9852,2024
Healthcare,ChatGPT,10.36,7583,2024
Technology,ChatGPT,0.15,2931,2024
Education,Bard,15.56,4687,2024
Healthcare,ChatGPT,29.71,2914,2024
Healthcare,ChatGPT,6.75,6655,2023
Finance,Midjourney,99.22,9088,2023
Education,Midjourney,85.64,2854,2023
Agriculture,ChatGPT,1.75,6633,2024
Finance,ChatGPT,79.48,8055,2024
Transportation,Bard,37.93,9576,2024
Transportation,Midjourney,8.14,8528,2024
Agriculture,ChatGPT,96.04,6915,2024
Manufacturing,ChatGPT,43.55,2699,2024
Healthcare,Bard,54.7,4615,2024
Healthcare,ChatGPT,4.72,7091,2023
Transportation,Midjourney,73.56,3521,2024
Healthcare,Midjourney,7.14,3625,2024
Healthcare,Bard,12.73,539,2024
Finance,Midjourney,35.43,2584,2023
Finance,Bard,87.66,5387,2023
Healthcare,ChatGPT,35.82,1632,2023
Manufacturing,ChatGPT,59.31,3375,2024
Retail,Bard,8.24,9926,2024
Retail,ChatGPT,47.63,9978,2024
Manufacturing,Midjourney,13.66,8110,2023
Retail,ChatGPT,44.19,9573,2023
Healthcare,Bard,56.31,3739,2024
Healthcare,ChatGPT,46.42,5835,2024
Education,ChatGPT,44.68,8426,2024
Manufacturing,Bard,98.66,8414,2024
Technology,ChatGPT,0.55,7573,2023
Manufacturing,Midjourney,87.53,1883,2024
Manufacturing,ChatGPT,85.44,2531,2024
Education,Stable Diffusion,83.57,7862,2024
Retail,ChatGPT,47.28,3046,2024
Finance,Stable Diffusion,9.43,8409,2023
Retail,Claude,73.18,930,2024
Agriculture,Midjourney,33.95,3814,2024
Healthcare,ChatGPT,89.64,7831,2024
Transportation,Midjourney,24.21,6770,2024
Healthcare,ChatGPT,89.96,3099,2024
Finance,Midjourney,89.65,1348,2024
Agriculture,Midjourney,27.09,3233,2023
Finance,Stable Diffusion,29.08,3955,2024
Transportation,ChatGPT,20.02,4114,2024
Retail,ChatGPT,31.25,7782,2023
Manufacturing,Stable Diffusion,43.03,7283,2024
Manufacturing,Stable Diffusion,63.3,3767,2023
Education,Stable Diffusion,9.16,6877,2024
Transportation,ChatGPT,92.36,1755,2024
Transportation,Bard,7.72,3836,2024
Finance,Bard,75.88,4086,2023
Finance,Stable Diffusion,76.06,3421,2024
Finance,Midjourney,58.61,9894,2024
Finance,ChatGPT,30.02,3582,2024
Technology,ChatGPT,97.36,3378,2024
Transportation,Bard,2.13,2953,2023
Healthcare,Bard,13.12,9473,2023
Transportation,ChatGPT,47.79,3857,2023
Transportation,Midjourney,66.14,2907,2023
Agriculture,Midjourney,33.42,5642,2023
Finance,Bard,35.07,4139,2023
Finance,Bard,92.78,8336,2024
Technology,Claude,99.88,7909,2024
Agriculture,ChatGPT,72.86,7784,2024
Agriculture,ChatGPT,25.03,2314,2024
Transportation,Bard,97.62,9729,2024
Retail,Midjourney,46.49,5370,2024
Retail,Midjourney,45.67,1170,2024
Finance,Midjourney,29.13,2287,2024
Education,ChatGPT,0.52,2797,2024
Technology,Stable Diffusion,79.26,5425,2023
Manufacturing,ChatGPT,46.47,4690,2024
Education,Midjourney,68.41,4726,2023
Healthcare,ChatGPT,64.49,1114,2024
Manufacturing,ChatGPT,92.06,3427,2023
Healthcare,Midjourney,44.26,1942,2023
Finance,ChatGPT,99.28,4385,2023
Education,ChatGPT,53.38,1938,2024
Transportation,ChatGPT,96.75,730,2024
Technology,ChatGPT,94.09,7515,2024
Education,Midjourney,2.9,487,2024
Healthcare,ChatGPT,50.14,931,2024
Retail,ChatGPT,91.28,2229,2024
Transportation,ChatGPT,45.87,6560,2024
Retail,Bard,53.31,8716,2024
Healthcare,Stable Diffusion,25.17,488,2024
Retail,Bard,87.22,9103,2024
Finance,ChatGPT,86.17,1260,2024
Transportation,ChatGPT,42.15,5611,2024
Agriculture,Midjourney,21.29,5309,2024
Education,Midjourney,11.5,9487,2024
Education,ChatGPT,16.72,1580,2024
Manufacturing,ChatGPT,50.01,9858,2023
Retail,ChatGPT,36.56,2669,2024
Finance,Midjourney,31.51,5139,2024
Manufacturing,ChatGPT,44.63,2031,2024
Technology,Midjourney,34.78,8778,2024
Transportation,Midjourney,86.3,9462,2024
Agriculture,Midjourney,69.83,9804,2024
Education,Stable Diffusion,55.18,9261,2024
Education,Bard,7.84,2134,2024
Technology,ChatGPT,32.25,9808,2024
Education,Midjourney,21.42,6546,2024
Technology,Bard,42.48,513,2024
Finance,Midjourney,64.97,898,2023
Manufacturing,Bard,14.1,1395,2024
Agriculture,Midjourney,66.8,9672,2023
Agriculture,Bard,22.8,892,2024
Retail,ChatGPT,78.61,6193,2023
Retail,Midjourney,75.94,9218,2024
Technology,Midjourney,50.74,1143,2024
Agriculture,Claude,79.04,7705,2024
Agriculture,Midjourney,35.08,8193,2024
Technology,Midjourney,40.11,3569,2024
Retail,Midjourney,11.54,3947,2024
Retail,ChatGPT,31.57,5553,2024
Education,Bard,99.55,1765,2023
Finance,Claude,91.12,128,2023
Technology,ChatGPT,75.41,2239,2023
Manufacturing,Midjourney,2.02,4630,2024
Technology,Claude,41.73,1105,2024
Agriculture,ChatGPT,87.79,7857,2023
Education,ChatGPT,49.66,6713,2024
Healthcare,Midjourney,97.47,4503,2024
Agriculture,ChatGPT,39.92,2809,2023
Technology,ChatGPT,6.26,9101,2024
Healthcare,Midjourney,81.91,549,2024
Finance,Bard,42.51,9528,2024
Technology,Stable Diffusion,6.62,9247,2024
Healthcare,ChatGPT,13.95,4053,2024
Retail,Bard,78.05,458,2024
Healthcare,Midjourney,12.26,680,2024
Retail,ChatGPT,8.96,8653,2023
Technology,ChatGPT,57.81,2443,2024
Agriculture,Midjourney,7.16,6373,2024
Technology,ChatGPT,83.68,4853,2023
Transportation,ChatGPT,38.2,2672,2023
Education,Midjourney,92.19,1573,2024
Finance,Midjourney,45.75,976,2023
Manufacturing,ChatGPT,74.9,9956,2023
Transportation,ChatGPT,92.66,1454,2023
Retail,Stable Diffusion,43.09,6637,2024
Education,ChatGPT,74.24,7515,2024
Agriculture,ChatGPT,26.72,3962,2024
Retail,Midjourney,92.28,4411,2024
Education,Midjourney,69.77,5246,2024
Manufacturing,ChatGPT,84.31,6740,2024
Education,Claude,32.58,4411,2024
Manufacturing,ChatGPT,23.39,1911,2024
Retail,ChatGPT,5.71,7435,2024
Healthcare,ChatGPT,60.04,4318,2023
Agriculture,ChatGPT,64.45,6636,2024
Healthcare,Midjourney,84.8,997,2023
Retail,Midjourney,34.06,6914,2024
Education,Bard,97.11,8209,2023
Manufacturing,ChatGPT,7.14,1302,2023
Finance,Midjourney,36.5,4979,2024
Education,ChatGPT,2.29,7324,2024
Retail,Midjourney,60.97,5389,2023
Technology,Stable Diffusion,7.7,1392,2024
Manufacturing,ChatGPT,26.86,7379,2023
Transportation,Midjourney,81.32,7590,2023
Retail,Bard,24.89,2356,2023
Agriculture,Stable Diffusion,32.49,1462,2024
Education,Midjourney,59.23,3591,2024
Transportation,Stable Diffusion,45.99,4601,2024
Transportation,Midjourney,99.34,4987,2024
Manufacturing,Claude,78.53,6222,2024
Agriculture,ChatGPT,34.49,551,2024
Transportation,Bard,65.01,7046,2024
Manufacturing,Midjourney,11.99,7360,2024
Education,ChatGPT,58.14,2839,2024
Technology,ChatGPT,44.24,7299,2024
Technology,ChatGPT,17.56,1815,2024
Finance,Midjourney,99.64,923,2024
Healthcare,Claude,63.03,1587,2024
Manufacturing,Midjourney,57.57,9182,2023
Manufacturing,Stable Diffusion,42.63,3560,2024
Agriculture,Stable Diffusion,72.17,6868,2024
Manufacturing,Bard,97.66,8516,2024
Healthcare,Midjourney,65.78,141,2023
Finance,ChatGPT,13.85,5114,2023
Finance,Midjourney,72.77,5202,2024
Manufacturing,ChatGPT,56.56,6123,2024
Technology,ChatGPT,71.62,4542,2024
Healthcare,ChatGPT,71.75,784,2023
Transportation,ChatGPT,28.7,6260,2023
Technology,Stable Diffusion,93.81,682,2024
Retail,ChatGPT,89.54,5301,2024
Finance,Bard,28.34,1479,2024
Transportation,Midjourney,31.78,1515,2023
Education,ChatGPT,92.34,752,2024
Education,Midjourney,84.21,6294,2023
Education,ChatGPT,67.28,8253,2023
Finance,Midjourney,22.55,5583,2023
Manufacturing,ChatGPT,56.51,3058,2023
Finance,ChatGPT,99.95,2975,2023
Retail,Midjourney,36.8,3615,2023
Transportation,ChatGPT,3.82,303,2024
Technology,ChatGPT,92.31,3351,2023
Transportation,Midjourney,59.11,2195,2023
Manufacturing,Midjourney,58.16,7605,2024
Healthcare,Midjourney,7.56,1920,2024
Agriculture,Midjourney,17.38,8403,2024
Agriculture,ChatGPT,79.17,221,2024
Transportation,ChatGPT,95.25,733,2024
Education,ChatGPT,11.89,2888,2024
Transportation,ChatGPT,59.32,3431,2024
Technology,ChatGPT,53.38,1896,2024
Education,Bard,26.93,2376,2023
Finance,Stable Diffusion,26.96,2784,2023
Agriculture,Stable Diffusion,73.93,7999,2024
Technology,ChatGPT,97.07,7538,2024
Transportation,Midjourney,14.63,1349,2024
Transportation,Stable Diffusion,72.9,5969,2023
Healthcare,Stable Diffusion,79.25,1271,2023
Technology,Midjourney,48.26,4923,2024
Technology,ChatGPT,91.28,8015,2023
Finance,Midjourney,26.75,4238,2023
Education,ChatGPT,2.16,2744,2024
Transportation,ChatGPT,41.11,7132,2024
Retail,Midjourney,36.79,1440,2024
Healthcare,Midjourney,56.73,7432,2024
Agriculture,Stable Diffusion,46.17,5150,2023
Finance,Midjourney,87.04,9655,2023
Education,Stable Diffusion,2.87,4555,2024
Healthcare,Midjourney,0.29,1166,2024
Education,ChatGPT,12.77,3309,2024
Retail,ChatGPT,83.62,7880,2024
Healthcare,Midjourney,64.57,4994,2024
Healthcare,ChatGPT,65.45,7270,2024
Manufacturing,Midjourney,78.97,5024,2024
Education,Stable Diffusion,0.66,911,2024
Technology,ChatGPT,58.51,3884,2024
Manufacturing,Bard,89.39,3648,2024
Healthcare,ChatGPT,74.9,5811,2024
Finance,ChatGPT,88.49,3190,2023
Finance,ChatGPT,10.93,7523,2024
Education,Midjourney,84.99,7019,2024
Agriculture,Claude,31.61,1576,2024
Agriculture,Claude,25,6578,2024
Transportation,ChatGPT,24.55,4027,2024
Retail,ChatGPT,22.59,6211,2024
Manufacturing,Claude,5.39,2085,2024
Finance,ChatGPT,86.05,2154,2024
Agriculture,ChatGPT,37.05,9553,2024
Finance,Midjourney,81.11,8154,2024
Transportation,Midjourney,60.27,9895,2024
Healthcare,Midjourney,92.23,5766,2024
Education,Midjourney,60.57,4031,2024
Manufacturing,Stable Diffusion,28.49,3625,2024
Technology,Stable Diffusion,57.9,3682,2024
Transportation,Midjourney,85.65,9147,2023
Technology,ChatGPT,85.83,2981,2024
Education,ChatGPT,59.15,6950,2024
Healthcare,Stable Diffusion,84.56,2924,2024
Finance,Midjourney,71.64,4762,2024
Healthcare,ChatGPT,72.21,2955,2024
Transportation,ChatGPT,23.27,9046,2023
Technology,ChatGPT,95.91,9225,2023
Manufacturing,ChatGPT,35.8,9788,2023
Agriculture,ChatGPT,98.65,7201,2024
Retail,Midjourney,98.12,2136,2024
Manufacturing,ChatGPT,76.23,7289,2023
Finance,Midjourney,81.7,4018,2024
Retail,ChatGPT,97.72,1284,2023
Transportation,ChatGPT,74.79,8194,2024
Education,ChatGPT,49.83,3239,2024
Healthcare,ChatGPT,75.66,750,2023
Education,ChatGPT,85.71,4302,2023
Healthcare,Midjourney,48.9,8742,2023
Healthcare,Bard,81.5,1821,2024
Healthcare,Midjourney,30.06,4559,2024
Healthcare,Midjourney,14.31,4067,2024
Transportation,Bard,6.16,5621,2024
Manufacturing,Midjourney,20.59,7439,2023
Technology,ChatGPT,59.69,8923,2024
Healthcare,ChatGPT,93.85,5127,2023
Transportation,ChatGPT,53.25,9876,2023
Manufacturing,Stable Diffusion,89.9,1082,2024
Transportation,ChatGPT,35.56,215,2024
Retail,ChatGPT,4.29,6455,2024
Transportation,Midjourney,51.4,5134,2024
Retail,ChatGPT,96.69,2058,2024
Retail,Stable Diffusion,24.92,9124,2023
Manufacturing,Midjourney,56.14,811,2023
Manufacturing,Midjourney,38.34,1714,2024
Technology,Midjourney,42.02,2956,2024
Technology,ChatGPT,60.67,8939,2023
Finance,Midjourney,14.39,6690,2024
Retail,ChatGPT,63.39,8891,2023
Technology,ChatGPT,41.14,8058,2023
Healthcare,Bard,98.55,9995,2024
Education,Midjourney,56.94,6258,2023
Retail,Midjourney,63.52,8945,2024
Finance,Bard,65.94,5280,2024
Education,Stable Diffusion,40.51,5332,2024
Education,Midjourney,92.67,3200,2024
Manufacturing,Midjourney,72.33,7064,2024
Finance,Midjourney,64.87,6343,2024
Retail,ChatGPT,45.72,3596,2024
Agriculture,Midjourney,89,9518,2024
Transportation,Midjourney,62.2,4568,2024
Transportation,Midjourney,51.94,901,2024
Healthcare,ChatGPT,68.3,6859,2024
Manufacturing,ChatGPT,31.33,5179,2024
Agriculture,Midjourney,22.43,5198,2023
Manufacturing,ChatGPT,56.29,1950,2024
Technology,ChatGPT,40.86,5518,2024
Healthcare,ChatGPT,41.18,1020,2024
Healthcare,ChatGPT,66.2,4031,2023
Retail,Claude,10.7,6686,2024
Agriculture,Claude,51.52,3913,2024
Healthcare,Stable Diffusion,21.17,5628,2023
Healthcare,Stable Diffusion,50.72,6194,2024
Education,Midjourney,28.31,9889,2023
Retail,ChatGPT,14.12,6807,2023
Finance,ChatGPT,24.22,7481,2023
Manufacturing,Bard,87.14,9149,2024
Healthcare,Midjourney,40.92,8052,2023
Technology,Midjourney,85.32,850,2024
Education,Midjourney,21.44,8739,2024
Manufacturing,ChatGPT,82.14,8550,2024
Finance,Midjourney,41.63,2632,2024
Education,Midjourney,74.99,7761,2023
Transportation,ChatGPT,25.07,2850,2023
Finance,Stable Diffusion,38.14,6769,2024
Finance,Midjourney,20.61,3941,2023
Technology,Midjourney,0.6,4695,2024
Finance,ChatGPT,40.52,1221,2024
Transportation,Midjourney,72.14,7087,2023
Technology,Midjourney,54.35,2002,2024
Transportation,ChatGPT,63.97,859,2024
Retail,Claude,44.65,3506,2024
Technology,ChatGPT,64.73,2736,2024
Education,ChatGPT,6.13,736,2023
Retail,ChatGPT,1.55,1056,2024
Transportation,Bard,17.01,2487,2023
Healthcare,ChatGPT,62.65,1263,2024
Healthcare,ChatGPT,84.68,8790,2024
Agriculture,Stable Diffusion,19.08,6920,2023
Technology,ChatGPT,2.59,4770,2023
Agriculture,Midjourney,14.26,7716,2024
Retail,ChatGPT,21.67,8732,2024
Agriculture,ChatGPT,89.75,8324,2024
Healthcare,Stable Diffusion,94.4,951,2024
Finance,ChatGPT,54.7,3382,2024
Finance,Claude,53.82,8792,2024
Healthcare,ChatGPT,26.19,6372,2023
Agriculture,ChatGPT,46.62,5314,2023
Technology,Midjourney,19.21,3621,2024
Technology,Bard,33.4,7381,2023
Transportation,Midjourney,97.75,7875,2024
Healthcare,Stable Diffusion,35.15,7139,2023
Technology,ChatGPT,82.32,1650,2024
Manufacturing,ChatGPT,62.97,4490,2024
Agriculture,Claude,87.41,4012,2024
Healthcare,Midjourney,13.92,9757,2024
Education,Claude,89.43,3097,2024
Retail,ChatGPT,71.91,4943,2023
Education,Stable Diffusion,93.07,1037,2024
Technology,Midjourney,40.42,608,2023
Agriculture,Bard,50.61,6664,2024
Healthcare,ChatGPT,49.9,3167,2023
Technology,Midjourney,67.53,2658,2024
Manufacturing,Midjourney,35.94,661,2024
Agriculture,ChatGPT,50.74,3722,2024
Transportation,Bard,63.17,7220,2023
Technology,ChatGPT,39.96,140,2023
Manufacturing,Midjourney,68.55,5890,2023
Education,Stable Diffusion,70.55,8920,2024
Retail,Stable Diffusion,95.69,2832,2024
Transportation,Midjourney,76.52,6365,2023
Technology,Midjourney,53.97,6540,2024
Transportation,ChatGPT,35.63,8587,2024
Healthcare,Stable Diffusion,50.36,3129,2024
Healthcare,ChatGPT,51.29,1838,2023
Technology,Midjourney,65.52,8254,2023
Manufacturing,ChatGPT,66.41,4170,2024
Retail,Midjourney,52.39,1154,2024
Education,Bard,15.78,2592,2024
Manufacturing,ChatGPT,11.23,3401,2024
Transportation,Midjourney,12.57,4653,2024
Manufacturing,Midjourney,55.87,8714,2024
Education,Bard,57.04,2278,2024
Retail,ChatGPT,77.42,171,2023
Healthcare,Midjourney,69.62,6041,2023
Finance,Claude,46.88,2027,2024
Manufacturing,ChatGPT,81.57,4906,2024
Manufacturing,ChatGPT,74.49,7990,2024
Retail,ChatGPT,49.66,6394,2024
Education,Stable Diffusion,25.55,9780,2023
Manufacturing,ChatGPT,50.02,7683,2024
Transportation,ChatGPT,77.07,7168,2023
Technology,ChatGPT,74.6,2318,2024
Technology,Bard,34.57,3576,2024
Education,Stable Diffusion,17.49,2479,2023
Education,Stable Diffusion,35.22,936,2023
Manufacturing,Midjourney,90.15,4061,2024
Education,ChatGPT,58.64,3001,2023
Technology,ChatGPT,8.36,2157,2024
Agriculture,Midjourney,63.13,341,2024
Transportation,ChatGPT,28.58,4697,2024
Agriculture,Claude,53.34,4650,2024
Healthcare,Midjourney,17.3,7567,2023
Finance,ChatGPT,38.51,4908,2024
Healthcare,Midjourney,12.95,4747,2024
Transportation,ChatGPT,46.53,5584,2024
Healthcare,ChatGPT,89.32,2176,2023
Technology,Midjourney,93.16,9920,2024
Healthcare,ChatGPT,55.19,7644,2024
Technology,ChatGPT,2.88,5959,2024
Healthcare,Midjourney,77.48,9432,2024
Healthcare,Bard,43.68,9998,2024
Retail,Midjourney,42.59,6420,2024
Education,ChatGPT,87.07,606,2024
Manufacturing,Claude,1.55,3650,2023
Healthcare,Midjourney,35.14,7389,2024
Transportation,ChatGPT,51.96,3930,2024
Technology,ChatGPT,20.36,3451,2023
Transportation,Midjourney,33.22,3146,2024
Retail,Midjourney,51.42,5984,2023
Education,Midjourney,34.6,6779,2024
Manufacturing,ChatGPT,96.12,3323,2024
Transportation,Midjourney,84.86,9367,2024
Transportation,Midjourney,71,469,2023
Transportation,ChatGPT,81.48,6220,2024
Retail,Stable Diffusion,56.69,6472,2024
Manufacturing,ChatGPT,68.64,2787,2024
Transportation,ChatGPT,92.12,8393,2024
Finance,ChatGPT,37.92,7605,2023
Retail,Midjourney,13.17,6350,2024
Technology,Stable Diffusion,59.32,4720,2024
Transportation,ChatGPT,67.36,5029,2024
Retail,Midjourney,45.85,1939,2024
